sample_id	total_sample_abundance	richness_observed	richness_rare	richness_srs	evenness	shannon_div	faith_phylo_div	pco1_identity_58	pco2_identity_p28	pco1_phylogeny_47	pco2_phylogeny_36
m6	47752	2	2	2	0.503258334775646	0.348832095843032	0.108505699300794	-0.00571478454148087	0.0149296772374349	-0.0543783256594484	0.109883209472918
s12884	34047	3	2	3	0.864973520717927	0.950270539233235	0.194996105172956	0.0478033909786483	-0.0456614892236485	0.0231069985052334	-0.0218614787925867
s39300	7063	2	2	2	1	0.693147180559945	0.156044855340611	0.0126074817240171	0.0242993707449224	0.0207169168750527	0.0676728130345962
s401974	149577	5	2	3	0.946394630357186	1.03972077083992	0.121439017204767	0.0739151570771557	0.0537520615816619	-0.0325519916652316	-0.0238110491908284
s401996	26347	2	2	2	0.840358671609117	0.582492243884961	0.139758837862722	-0.0148970413489676	0.0176663922968818	0.0340593759545295	0.0161523526534391
s402006	8384	2	2	2	0.738284866143451	0.511740073417409	0.116404353592587	0.0170188934620784	0.0266376192915532	0.0137260085865434	0.130948185954618
s402120	9088	2	2	2	0.571354974427955	0.396033089623637	0.118344849125254	0.033603062257453	0.0358966406657703	-0.0831616125149462	0.00415069784114035
m22	13116	3	3	3	0.96039488093455	1.05510161816864	0.157510182476898	0.0396389779293273	0.00904554619092477	-0.0956491630318925	0.0841888053735179
m23	24377	3	3	3	0.8946747982464	0.982900727715156	0.112568482000525	0.0698269516544224	-0.01626088209331	-0.0777724155358514	0.0384349612453639
m33	11527	3	3	3	0.960229717860761	1.05492016798614	0.210047011668923	0.0598161501033721	0.0413774775307413	0.0193835351157019	0.131499281950283
m43	32220	4	3	4	0.921185496588554	1.27703425946614	0.136502564414588	0.0476165737165052	0.0146760652830579	-0.0568249337183008	-0.0140504901545445
s19594	18649	3	3	3	0.892008210896096	0.979971182083305	0.101117323288127	-0.0487999242029861	0.043758095312055	0.0103986486791703	-0.0639891268162569
s401634	11490	3	3	3	0.900819738265482	0.989651634333249	0.14659278985776	-0.00493924581953105	-0.0296747289449161	0.0172035859464971	-0.0107846341022176
s401964	56625	3	3	3	0.78358070404881	0.860851390631232	0.0962748392844135	-0.0506663093928732	0.0200193031593223	-0.126443878838897	-0.006206132686559
s9450	68695	4	3	3	0.85279248849004	0.936888307539016	0.119173083537416	0.0697806019738409	-0.0421390761350904	-0.0948110048949623	0.0200102057908522
m17	19303	4	4	4	0.780131836479308	1.08149236584137	0.146724021397901	0.103708907428012	-0.0688913358306215	-0.0711892685930187	0.0494403564168124
m39	785724	14	4	6	1	1.79175946922805	0.193010002775816	-0.0859567023106341	0.0145491777523277	-0.0839064185037756	0.110860199166648
m44	27107	4	4	4	0.966457281989699	1.33979428028558	0.260623841468928	0.00968956330769906	0.0201281079430924	0.0921839610669128	0.0553442414271135
s19481	125710	4	4	4	0.61375979825143	0.850851747398039	0.129456915502472	0.124399693286571	-0.0374253072580775	-0.0621140504133797	0.139766956342471
s19505	38021	5	4	4	0.952124267104505	1.31992450257238	0.126874578847231	-0.168962094639535	-0.0976085647841709	-0.0260303993438385	-0.198774174839787
s401654	54774	6	4	5	0.837129533949258	1.34730800955622	0.188736057218216	-0.212432013101249	-0.0353356490636478	-0.112779661058713	-0.0745095458091012
s401956	4540	4	4	4	0.68661167056621	0.951845887185044	0.278826251834553	-0.0588418577133056	-0.0258341086590427	0.0855051558980832	0.0407851073064066
s401978	30763	5	4	5	0.912206632932989	1.46813993901621	0.223703131669611	-0.003980751233092	0.026437785934046	0.0115495022281517	0.0303889756573879
s62168	28296	5	4	5	0.827409557091281	1.33166431029302	0.314253520953359	-0.0790293911293815	-0.018521425817979	0.0269607007881507	-0.0602901512930726
s9586	60320	6	4	6	0.930628224416578	1.66746193342929	0.276931776543089	-0.000792665746100555	0.0266884000840797	-0.0534774412901266	0.00107325190500703
m14	16282	5	5	5	0.785958874658742	1.26495201048982	0.266544636423749	-0.109489358974806	-0.0940051099466794	0.13999597696816	-0.0934486367624855
m26	14069	5	5	5	0.950977799464801	1.5305397243418	0.258730539478745	-0.00704671865124004	0.0630122186478386	-0.00034660961245849	0.0763645308654467
m29	34818	6	5	6	0.960058249314534	1.72019345921983	0.253031461299851	0.0142837847348582	0.05047267640007	0.0175029787803252	0.0225799767042333
s15825	3493	5	5	5	0.897944473522682	1.44518587894808	0.342830227902919	0.0171102242019805	0.0184347441266395	0.0707237383885361	0.0287828495752754
s15827	4888	5	5	5	0.98510796920959	1.58547011348688	0.334876911855833	0.00293810311043935	0.037443034833805	-0.0073446990451086	0.0392167843813034
s19507	6798	5	5	5	0.699340540838065	1.12554518012695	0.246487124949798	-0.0526184140567574	0.028332173065151	0.0782994580185323	-0.0272292736127659
s401954	30510	5	5	5	0.815819350281455	1.31301059204033	0.169402581951702	0.00911780349938613	0.000569902955153189	-0.100743398569706	0.0142441422273324
s402122	16434	5	5	5	0.760656084605558	1.22422874088787	0.225156240664479	-0.0830665112185461	-0.0635931514779297	0.0908570292888842	-0.0901873645589747
s62150	40448	6	5	6	0.841770313685434	1.50824993046095	0.324324183590453	0.0095759967031493	0.0165149150416313	-0.0547394594656085	-0.0504277249362175
s62170	11097	5	5	5	0.845780427990236	1.36123108640222	0.299743493163697	0.0159099546702152	0.0161065786237722	-0.0193783287844724	0.0952434978287434
m11	35443	7	6	7	0.524787619346788	1.02118955458549	0.402468367974087	-0.183232309542498	-0.10361672056955	0.0971875020990308	-0.100268745870772
m18	32295	8	6	7	0.785674861720869	1.52885268728027	0.167726332557642	0.173768453550564	-0.164389684784092	-0.0956453206826655	-0.00753366141518756
m20	22973	6	6	6	0.884511210648106	1.58483133731711	0.274256636057098	0.0541569256328305	0.0386452146865182	0.0627897092327442	0.118159411930187
m28	33126	6	6	6	0.81438929100672	1.45918972379921	0.258005768412166	0.143817019873573	0.0219662161716252	-0.0260191852679499	0.0177823366422224
m31	15502	6	6	6	0.842658412643688	1.50984119017901	0.172980147275268	-0.0178836895323145	-0.047673241761439	-0.0686614037298866	0.0174577299190033
