otu_id	phylum	family	genus	s12903	m41	m25	m5	s62162	s62160	s19481	m34	m32	s12438	s401660	s401612	m3	m1	s402150	s401656	s39326	m40	m11	s16001	s62172	s62156	m7	s402124	s62152	s15965	m46	s7857	s401652	m39	s7863	m36	s62174	m45	s62166	s39314	s401632	s15987	s15981	m37	s401654	s62158	m2	s401622	m28	m21	m8	s401964	s401614	s402122	m9	s401954	s19501	m27	s62150	s401996	s19507	s19505	s62164	s402112	s401646	s401618	m6	m14	s138530	s401616	m18	s9450	m4	s12614	s402120	m17	m23	m35	s401620	s401974	m20	s402116	s62120	s39352	s401956	s62168	s9586	s401634	m31	s402006	s19594	s15829	m24	s9466	m44	s15947	m26	s62170	s401978	s12884	m43	s401644	s401972	m22	m29	m13	m33	m38	m15	m10	s7839	s62128	s15827	s15949	m16	s39300	s62154	m12	s402118	s15825	m19	s62134	s401650	s401658	s19509	m42	s12428	s12430	s15997	s19511
b87498d99cfebf91ffe6eb7ff5984fdaf18424d4	Glomeromycota	Ambisporaceae	Ambispora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9bbde323096304ae2b4f57d9f6527d835d50e6fa	Glomeromycota	Glomeraceae	Glomus	0	0	0	468	0	0	0	6	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a96c2c81494f96e3016f5ccb2247eef838d750ee	Glomeromycota	Diversisporaceae	Diversispora	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	446	0	0	0	0	0	0	0	0	0	0	0	265	0	14	0	0	0	0	0	0	0	7	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
210322ef47ab9ab5f5dea789bb4a837483be9037	Glomeromycota	Entrophosporaceae	Claroideoglomus	0	0	0	0	413	0	0	0	0	0	124	0	0	0	65	0	0	0	0	0	0	42	0	0	0	0	0	0	268	0	0	0	0	0	72	0	0	0	0	0	0	0	112	0	0	0	0	0	79	0	0	0	0	0	0	0	143	0	51	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
9820d4a62e5c7c03eb9fce8e342b6725e1b0b867	Glomeromycota	Diversisporaceae	Diversispora	0	0	0	0	0	0	0	0	13	0	119	0	0	9	0	0	0	371	13	0	0	15	0	0	0	0	37	278	215	0	0	15	0	43	0	0	0	0	151	152	0	0	30	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	11	0	0	18	0	0	0	0	0	0	0	62	0	16	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
d8f446f393d5b5731d9dbf763027c8c0d7e020db	Glomeromycota	Glomeraceae	Glomus	0	4	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc51f1d002541a0dfe85b07634c55ec97d785782	Glomeromycota	Glomeraceae	Glomus	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
efb0f852e37f8d3e67c83a4771566fa474a62ab7	Glomeromycota	Entrophosporaceae	Claroideoglomus	0	301	0	160	0	0	0	0	89	0	0	0	23	7	0	0	69	0	47	12	0	0	0	40	0	0	0	93	0	0	0	0	9	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7a67bfe13ceb747cb2a079ac46e2ece500fd7adc	Glomeromycota	Paraglomeraceae	Paraglomus	0	0	0	0	299	0	0	0	17	0	0	0	0	0	0	72	0	28	0	0	116	0	0	0	0	0	0	0	145	0	0	20	0	0	211	0	0	0	0	7	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	16	0	0	0	17	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3384507f7f67cad3a7855c8191a8b343fe647a3f	Glomeromycota	Archaeosporaceae	Archaeospora	0	10	120	16	0	0	0	0	8	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0	0	0	93	0	0	0	31	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	68	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
